species_a,species_b,class_a,class_b,order_a,order_b,family_a,family_b,genus_a,genus_b,pair_class,relation,divergence_mya,divergence_years,divergence_source,timetree_study_count,timetree_ci_low,timetree_ci_high,timetree_name_a,timetree_name_b,n_calls_a,n_calls_b,n_pairs,alignment_r,alignment_fisher_z,log10_divergence_mya
African grey parrot (Psittacus erithacus),Green tree frog (Hyla cinerea),Aves,Amphibia,Psittaciformes,Anura,Psittacidae,Hylidae,Psittacus,Hyla,Cross-class,cross_class,351.686545,351686545.0,TimeTree API pairwise summaryjson,32.0,348.4,355.7,Dryophytes cinereus,Psittacus erithacus,5,7,35,0.3019809030824893,0.31169784671040235,2.546155753178947
African grey parrot (Psittacus erithacus),Howler monkey (Alouatta spp.),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Atelidae,Psittacus,Alouatta,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Alouatta,5,6,30,0.5452688012970368,0.6116233416629492,2.503722606486479
African grey parrot (Psittacus erithacus),Indri (Indri indri),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Indriidae,Psittacus,Indri,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Indri indri,5,6,30,0.46773465597327607,0.5071666544043834,2.503722606486479
African grey parrot (Psittacus erithacus),Japanese macaque (Macaca fuscata),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Macaca,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Macaca fuscata,5,8,40,0.11257091841423461,0.1130500744067373,2.503722606486479
African grey parrot (Psittacus erithacus),Japanese tit (Parus minor),Aves,Aves,Psittaciformes,Passeriformes,Psittacidae,Paridae,Psittacus,Parus,Aves,same_class,67.814305,67814305.0,TimeTree API pairwise summaryjson,12.0,56.259865,86.0,Parus minor,Psittacus erithacus,5,4,20,0.15139718619561152,0.15257008992259602,1.8313213152131547
African grey parrot (Psittacus erithacus),Langurs (Semnopithecus spp. / Trachypithecus spp.),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Semnopithecus,5,5,25,0.3555617131218738,0.37179606576670554,2.503722606486479
African grey parrot (Psittacus erithacus),L’Hoest’s monkey (Allochrocebus lhoesti),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Allochrocebus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Allochrocebus lhoesti,5,7,35,0.2220396205192978,0.22580048256261154,2.503722606486479
African grey parrot (Psittacus erithacus),Mandrill (Mandrillus sphinx),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Mandrillus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Mandrillus sphinx,5,7,35,0.49808703820181083,0.5467587717703323,2.503722606486479
African grey parrot (Psittacus erithacus),Meerkat (Suricata suricatta),Aves,Mammalia,Psittaciformes,Carnivora,Psittacidae,Herpestidae,Psittacus,Suricata,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Suricata suricatta,Psittacus erithacus,5,7,35,0.2950785214953762,0.3041200940265808,2.503722606486479
African grey parrot (Psittacus erithacus),Mona monkey (Cercopithecus mona),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Cercopithecus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Cercopithecus mona,5,6,30,0.2656454427164302,0.27217277118980865,2.503722606486479
African grey parrot (Psittacus erithacus),Mouse lemurs (Microcebus spp.),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cheirogaleidae,Psittacus,Microcebus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Microcebus,5,6,30,0.40174539753362604,0.4257285158259494,2.503722606486479
African grey parrot (Psittacus erithacus),Olive baboon (Papio anubis),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Papio,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Papio anubis,5,14,70,0.23614928776399316,0.24069202323204414,2.503722606486479
