species_a,species_b,timetree_taxon_id_a,timetree_taxon_id_b,timetree_query_a,timetree_query_b,timetree_name_a,timetree_name_b,timetree_mya,timetree_ci_low,timetree_ci_high,timetree_study_count,timetree_source,timetree_error
Carolina chickadee (Poecile carolinensis),Common marmoset (Callithrix jacchus),48892,9483,Poecile carolinensis,Callithrix jacchus,Poecile carolinensis,Callithrix jacchus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Howler monkey (Alouatta spp.),48892,9499,Poecile carolinensis,Alouatta,Poecile carolinensis,Alouatta,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Diana monkey (Cercopithecus diana),48892,36224,Poecile carolinensis,Cercopithecus diana,Poecile carolinensis,Cercopithecus diana,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Putty-nosed monkey (Cercopithecus nictitans),48892,36228,Poecile carolinensis,Cercopithecus nictitans,Poecile carolinensis,Cercopithecus nictitans,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Red-tailed monkey (Cercopithecus ascanius),48892,36223,Poecile carolinensis,Cercopithecus ascanius,Poecile carolinensis,Cercopithecus ascanius,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),De Brazza’s monkey (Cercopithecus neglectus),48892,36227,Poecile carolinensis,Cercopithecus neglectus,Poecile carolinensis,Cercopithecus neglectus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),L’Hoest’s monkey (Allochrocebus lhoesti),48892,100224,Poecile carolinensis,Allochrocebus lhoesti,Poecile carolinensis,Allochrocebus lhoesti,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Patas monkey (Erythrocebus patas),48892,9538,Poecile carolinensis,Erythrocebus patas,Poecile carolinensis,Erythrocebus patas,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Talapoin monkey (Miopithecus talapoin),48892,36231,Poecile carolinensis,Miopithecus talapoin,Poecile carolinensis,Miopithecus talapoin,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Gelada (Theropithecus gelada),48892,9565,Poecile carolinensis,Theropithecus gelada,Poecile carolinensis,Theropithecus gelada,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Crowned monkey / Crowned guenon (Cercopithecus pogonias),48892,102108,Poecile carolinensis,Cercopithecus pogonias,Poecile carolinensis,Cercopithecus pogonias,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Mona monkey (Cercopithecus mona),48892,36226,Poecile carolinensis,Cercopithecus mona,Poecile carolinensis,Cercopithecus mona,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Chacma baboon (Papio ursinus),48892,36229,Poecile carolinensis,Papio ursinus,Poecile carolinensis,Papio ursinus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Carolina chickadee (Poecile carolinensis),Zebra finch (Taeniopygia guttata),48892,59729,Poecile carolinensis,Taeniopygia guttata,Poecile carolinensis,Taeniopygia guttata,29.793515,21.544868,36.99,8.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Spotted hyena (Crocuta crocuta),37032,9678,Suricata suricatta,Crocuta crocuta,Suricata suricatta,Crocuta crocuta,32.3519,27.0,38.26,9.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Poison dart frogs (Dendrobatidae; various genera),37032,43469,Suricata suricatta,Dendrobatidae,Suricata suricatta,Dendrobatidae,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Green tree frog (Hyla cinerea),37032,8422,Suricata suricatta,Hyla cinerea,Suricata suricatta,Dryophytes cinereus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Túngara frog (Engystomops pustulosus),37032,76066,Suricata suricatta,Engystomops pustulosus,Suricata suricatta,Engystomops pustulosus,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),American bullfrog (Lithobates catesbeianus),37032,8400,Suricata suricatta,Lithobates catesbeianus,Suricata suricatta,Aquarana catesbeiana,351.686545,348.4,355.7,32.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),African savanna elephant (Loxodonta africana),37032,9785,Suricata suricatta,Loxodonta africana,Suricata suricatta,Loxodonta africana,99.1887,94.7,101.9,27.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Gray wolf (Canis lupus),37032,9612,Suricata suricatta,Canis lupus,Suricata suricatta,Canis lupus,55.361635,52.9,57.27,45.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Egyptian fruit bat (Rousettus aegyptiacus),37032,9407,Suricata suricatta,Rousettus aegyptiacus,Suricata suricatta,Rousettus aegyptiacus,81.026045,68.4,82.6,18.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Greater sac-winged bat (Saccopteryx bilineata),37032,59482,Suricata suricatta,Saccopteryx bilineata,Suricata suricatta,Saccopteryx bilineata,81.026045,68.4,82.6,18.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Bengalese finch (Lonchura striata domestica),37032,299123,Suricata suricatta,Lonchura striata domestica,Suricata suricatta,Lonchura striata domestica,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Japanese tit (Parus minor),37032,213890,Suricata suricatta,Parus minor,Suricata suricatta,Parus minor,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Plain-tailed wren (Pheugopedius euophrys),37032,2724890,Suricata suricatta,Pheugopedius euophrys,Suricata suricatta,Pheugopedius euophrys,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),White-browed sparrow-weaver (Plocepasser mahali),37032,99181,Suricata suricatta,Plocepasser mahali,Suricata suricatta,Plocepasser mahali,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Chestnut-crowned babbler (Pomatostomus ruficeps),37032,9176,Suricata suricatta,Pomatostomus ruficeps,Suricata suricatta,Pomatostomus ruficeps,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),European starling (Sturnus vulgaris),37032,9172,Suricata suricatta,Sturnus vulgaris,Suricata suricatta,Sturnus vulgaris,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),African grey parrot (Psittacus erithacus),37032,57247,Suricata suricatta,Psittacus erithacus,Suricata suricatta,Psittacus erithacus,318.95,316.0,322.37,30.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Mandrill (Mandrillus sphinx),37032,9561,Suricata suricatta,Mandrillus sphinx,Suricata suricatta,Mandrillus sphinx,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
